CLAVE,CLAVE ALTERNA,DESCRIPCION,SERVICIO (S/N),INV_MIN,INV_MAX,PRECIO COMPRA,PRECIO 1,PRECIO 2,MAYOREO 2,PRECIO 3,MAYOREO 3,PRECIO 4,MAYOREO 4,EXIST.,PESO,CARACTERISTICAS,DEPARTAMENTO,CATEGORIA,RECETA (S/N),GRANEL (S/N),IMPUESTO (S/N)
C050 N20,,"PERFIL CUADRADO 1/2"" NEGRO CALIBRE 20",false,0,0,58.5452,70.25424,0.000000,50.000,0.000000,100.000,0.000000,200.000,0.0000,2.0600,,VENTAS,PINTADO,N,N,S
C050 N18,,"PERFIL CUADRADO 1/2"" NEGRO CALIBRE 18",false,0,0,77.3024,92.76288,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,2.7200,,VENTAS,PINTADO,N,N,S
C075 P18,,"PERFIL CUADRADO 3/4"" PINTADO CALIBRE 18",false,0,0,112.056,134.4672,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,4.2000,,VENTAS,PINTADO,N,N,S
C075 P20,,"PERFIL CUADRADO 3/4"" PINTADO CALIBRE 20",false,0,0,85.376,102.4512,0.000000,0.000,0.000000,0.000,0.000000,0.000,26.0000,3.2000,,VENTAS,PINTADO,N,N,S
C087 N18,,"PERFIL CUADRADO 7/8"" NEGRO CALIBRE 18",false,0,0,132.066,158.4792,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,4.9500,,VENTAS,PINTADO,N,N,S
C087 N20,,"PERFIL CUADRADO 7/8"" NEGRO CALIBRE 20",false,0,0,99.7832,119.73984,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,3.7400,,VENTAS,PINTADO,N,N,S
C100 P18,,"PERFIL CUADRADO 1"" PINTADO CALIBRE 18",false,0,0,150.742,180.8904,0.000000,0.000,0.000000,0.000,0.000000,0.000,9.0000,5.6500,,VENTAS,PINTADO,N,N,S
C100 P20,,"PERFIL CUADRADO 1"" PINTADO CALIBRE 20",false,0,0,114.1904,137.02848,0.000000,0.000,0.000000,0.000,0.000000,0.000,2.0000,4.2800,,VENTAS,PINTADO,N,N,S
C125 P18,,"PERFIL CUADRADO 1 1/4"" PINTADO CALIBRE 18",false,0,0,192.096,230.5152,0.000000,0.000,0.000000,0.000,0.000000,0.000,8.0000,7.2000,,VENTAS,PINTADO,N,N,S
C125 P20,,"PEREFIL CUADRADO 1 1/4"" PINTADO CALIBRE 20",false,0,0,144.072,172.8864,0.000000,0.000,0.000000,0.000,0.000000,0.000,15.0000,5.4000,,VENTAS,PINTADO,N,N,S
C150 P18,,"PERFIL CUADRADO 1 1/2"" PINTADO CALIBRE 18",false,0,0,230.782,276.9384,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,8.6500,,VENTAS,PINTADO,N,N,S
C150 P20,,"PERFIL CUADRADO 1 1/2"" PINTADO CALIBRE 20",false,0,0,173.1532,207.78384,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,6.4900,,VENTAS,PINTADO,N,N,S
C200 P18,,"PERFIL CUADRADO 2"" PINTADO CALIBRE 18",false,0,0,308.6876,370.42512,0.000000,0.000,0.000000,0.000,0.000000,0.000,1.0000,11.5700,,VENTAS,PINTADO,N,N,S
R100 P18,,"PERFIL RECTANGULAR 1/2 X 1"" PINTADO CALIBRE 18",false,0,0,112.056,134.4672,0.000000,0.000,0.000000,0.000,0.000000,0.000,15.0000,4.2000,,VENTAS,PINTADO,N,N,S
